id,value
farm1,42.1088581550796
farm1,62.0520811565724
farm1,62.3111024806565
farm1,43.9886714929101
farm1,45.8270422795745
farm1,56.1459671305964
farm1,66.3451649512199
farm1,54.1563288585455
farm1,21.7015894765465
farm1,45.6884402352674
farm1,68.8221277013039
farm1,39.7204642902444
farm1,41.9924351541633
farm1,51.8348717748926
farm1,54.3611546092097
farm1,51.1622587943
farm1,38.5162186655284
farm1,51.8116826037092
farm1,44.8397195205676
farm1,60.0637734907476
farm1,51.8008060281904
farm1,42.8426333922362
farm1,33.7848230072169
farm1,46.9993857312132
farm1,43.7726954317878
farm1,31.744750207677
farm1,62.7509166223485
farm1,56.0788346739359
farm1,48.006227081575
farm1,27.4722461882084
farm1,40.6637900206417
farm1,52.1240308614299
farm1,28.3344202985161
farm1,45.4485099722065
farm1,44.4680448805125
farm1,50.3238062844944
farm1,51.906585104619
farm1,42.1908485701975
farm1,56.5099647288063
farm1,52.5056506343436
farm1,38.2994869156201
farm1,40.5320017647887
farm1,22.8791427878473
farm1,38.1764395559658
farm1,29.2146239947925
farm1,34.677670216495
farm1,61.0992927991966
farm1,31.1368932473662
farm1,37.7634146392665
farm1,56.2802649743526
farm1,49.1524019387628
farm1,65.3157491839718
farm1,34.0595644727041
farm1,39.1397856208211
farm1,52.087170453314
farm1,48.0023312037841
farm1,50.5895646521633
farm1,51.7608012244486
farm1,45.561754630795
farm1,23.5685969555326
farm1,57.4333711489274
farm1,46.1705458674799
farm1,32.2562655174169
farm1,49.6748027191678
farm1,49.1095805604907
farm1,29.2726815464138
farm1,46.5479140763806
farm1,52.0061254578718
farm1,37.8691019541936
farm1,32.3929943962772
farm1,51.473313937373
farm1,44.2181057804144
farm1,48.3229259395265
farm1,40.5379630625328
farm1,37.4716635627287
farm1,54.1193617694103
farm1,45.9378339514502
farm1,33.1633947120974
farm1,55.4096804432264
farm1,47.7706256676868
farm1,33.3528416048595
farm1,51.5884929917306
farm1,43.5815883270459
farm1,44.7289063744744
farm1,37.4262735977147
farm1,41.8429402616361
farm1,30.9549105100826
farm1,53.1944381089288
farm1,52.5668527003122
farm1,56.6707068630466
farm1,47.5306759427585
farm1,41.9472598040718
farm1,40.6579093165784
farm1,39.3203949312684
farm1,50.7409519767219
farm1,60.7536194410323
farm1,47.2827438176062
farm1,46.4911948980609
farm1,57.6708662367197
farm1,43.7852946378393
farm1,29.2311351640883
farm1,59.8995239384707
farm1,41.1280432855864
farm1,44.1624368175487
farm1,40.2631507437419
farm1,36.3226505069187
farm1,38.2364110531279
farm1,49.1610078020728
farm1,43.917064201514
farm1,30.2352094987152
farm1,47.2025874991713
farm1,38.3814779739173
farm1,21.0156744290484
farm1,49.0102179477037
farm1,37.5744603914338
farm1,35.6244166130355
farm1,75.7544973869986
farm1,45.3982065822202
farm1,57.0944821785247
farm1,40.4599352437278
farm1,43.9815122790655
farm1,37.9104289859788
farm1,48.9962815089727
farm1,56.2562951306692
farm1,39.6712889299778
farm1,39.6327126024925
farm1,41.1642589382793
farm1,51.9920632040017
